"","Group.1","sr87_86","SE.1s.","Li","B","Na","Mg","Al","K","Ca","Ti","V","Mn","Fe","Ni","Cu","Zn","As","Rb","Sr","Sb","Ba","La","Ce","Pr","Nd","Ho","Tl","Pb","U"
"11",12,0.70811,2e-05,8e-05,0.0012,0.94,0.578,0.005,0.36,5,0.00094,0.000196,8.6e-05,0.0158,7e-05,2e-04,0.00046,8e-05,0.00089,0.0112,6e-06,0.00336,9.4e-06,1.8e-05,1.8e-06,6.2e-06,0.0036108,1.2e-06,2e-05,3.6e-06
"12",13,0.71824,1e-05,0.000166666666666667,0.0025,0.916666666666667,0.483333333333333,0.0108333333333333,0.625,2.4,0.000625,0.00015,0.000129166666666667,0.02625,5e-05,0.000416666666666667,0.000791666666666667,8.33333333333333e-05,0.00233333333333333,0.01125,1.25e-05,0.00575,2.25e-05,3.33333333333333e-05,4.58333333333333e-06,1.66666666666667e-05,0.00682791666666667,6.25e-06,4.16666666666667e-05,5e-06
"13",14,0.71256,1e-05,0.000292682926829268,0.00146341463414634,0.487804878048781,0.434146341463415,0.00463414634146342,0.170731707317073,4.1,0.000341463414634146,0.000124390243902439,0.000197560975609756,0.0287804878048781,8.53658536585366e-05,0.00024390243902439,0.000658536585365854,0.000170731707317073,0.000534146341463415,0.00853658536585366,1.46341463414634e-05,0.00280487804878049,1.92682926829268e-05,2.92682926829268e-05,4.63414634146342e-06,1.48780487804878e-05,0.0041519512195122,9.75609756097561e-07,5.1219512195122e-05,6.34146341463415e-06
"14",15,0.71076,1e-05,7.10659898477157e-05,0.000558375634517767,0.319796954314721,0.263451776649746,0.00050761421319797,0.0862944162436548,19.7,4.06091370558376e-05,5.63451776649746e-05,2.33502538071066e-05,0.00065989847715736,1.6243654822335e-05,5.0761421319797e-05,0.000213197969543147,6.5989847715736e-05,0.000117766497461929,0.00604060913705584,2.08121827411168e-05,0.0013248730964467,5.58375634517767e-07,1.01522842639594e-06,2.03045685279188e-07,1.52284263959391e-06,0.000854720812182741,4.06091370558376e-07,5.0761421319797e-06,2.07106598984772e-05
"15",16,0.71062,1e-05,6.73076923076923e-05,0.000528846153846154,0.307692307692308,0.254807692307692,0.000480769230769231,0.0817307692307692,20.8,2.88461538461538e-05,5.09615384615385e-05,1.15384615384615e-05,0.000432692307692308,8.70192307692308e-05,0.000163461538461538,0.000336538461538462,6.25e-05,0.000109615384615385,0.00586538461538462,1.97115384615385e-05,0.00127884615384615,4.32692307692308e-07,9.61538461538461e-07,1.92307692307692e-07,1.44230769230769e-06,0.000803173076923077,2.88461538461538e-07,4.80769230769231e-06,2.05769230769231e-05
"16",17,0.7106,1e-05,0.000146198830409357,0.00064327485380117,0.350877192982456,0.267251461988304,0.000526315789473684,0.0935672514619883,17.1,5.26315789473684e-05,6.4327485380117e-05,2.04678362573099e-05,0.00111111111111111,2.04678362573099e-05,5.84795321637427e-05,0.000245614035087719,0.00012280701754386,0.000146783625730994,0.00625730994152047,2.22222222222222e-05,0.00154970760233918,8.7719298245614e-07,1.16959064327485e-06,2.33918128654971e-07,1.75438596491228e-06,0.000963099415204678,2.92397660818713e-07,7.60233918128655e-06,2.03508771929825e-05
"17",18,0.71025,1e-05,0.00010077519379845,0.000930232558139535,0.511627906976744,0.302325581395349,0.0010077519379845,0.147286821705426,12.9,0.000124031007751938,8.91472868217054e-05,0.000678294573643411,0.00511627906976744,4.88372093023256e-05,0.000108527131782946,0.00131007751937984,0.000170542635658915,0.000258914728682171,0.00705426356589147,2.09302325581395e-05,0.00222480620155039,3.48837209302326e-06,6.97674418604651e-06,7.75193798449612e-07,2.71317829457364e-06,0.00129441860465116,4.65116279069767e-07,1.47286821705426e-05,1.23255813953488e-05
"18",19,0.71033,2e-05,9.09090909090909e-05,0.000909090909090909,0.613636363636364,0.291666666666667,0.000606060606060606,0.151515151515152,13.2,8.33333333333333e-05,8.78787878787879e-05,5.60606060606061e-05,0.00272727272727273,4.39393939393939e-05,7.57575757575758e-05,0.000242424242424242,0.000174242424242424,0.000283333333333333,0.00712121212121212,2.12121212121212e-05,0.00240151515151515,3.03030303030303e-06,5.3030303030303e-06,7.57575757575758e-07,2.27272727272727e-06,0.00126386363636364,3.78787878787879e-07,7.57575757575758e-06,9.84848484848485e-06
"19",20,0.71078,1e-05,6.46766169154229e-05,0.00054726368159204,0.308457711442786,0.260696517412935,0.000348258706467662,0.0796019900497512,20.1,2.98507462686567e-05,5.37313432835821e-05,1.59203980099502e-05,0.000199004975124378,1.24378109452736e-05,4.97512437810945e-05,8.95522388059701e-05,6.96517412935323e-05,0.000107462686567164,0.00601990049751244,2.08955223880597e-05,0.00134328358208955,3.98009950248756e-07,9.9502487562189e-07,1.99004975124378e-07,1.49253731343284e-06,0.000826616915422886,3.48258706467662e-07,4.97512437810945e-06,2.18407960199005e-05
"20",21,0.70965,1e-05,7.5e-05,0.0015,0.6875,0.3625,0.002125,0.2375,8,0.000225,0.00013,0.00024,0.010625,8.375e-05,0.0001875,0.0006125,0.000175,0.00042875,0.0085,2.125e-05,0.0028375,8.375e-06,1.75e-05,2e-06,8.625e-06,0.002075375,6.25e-07,1.875e-05,4.625e-06
"21",22,0.70927,1e-05,7.14285714285714e-05,0.00142857142857143,0.642857142857143,0.345918367346939,0.00183673469387755,0.214285714285714,9.8,0.000204081632653061,0.00015,0.000359183673469388,0.00612244897959184,7.44897959183673e-05,0.000163265306122449,0.000377551020408163,0.000163265306122449,0.000426530612244898,0.00836734693877551,1.63265306122449e-05,0.00275510204081633,5.40816326530612e-06,1.12244897959184e-05,1.22448979591837e-06,5.30612244897959e-06,0.00170785714285714,4.08163265306122e-07,1.22448979591837e-05,7.04081632653061e-06
"22",23,0.70844,2e-05,9.75609756097561e-05,0.00146341463414634,0.804878048780488,0.353658536585366,0.00658536585365854,0.292682926829268,4.1,0.000439024390243902,0.000175609756097561,0.0431536585365854,0.0209756097560976,0.000141463414634146,0.000780487804878049,0.000878048780487805,0.00187804878048781,0.000387804878048781,0.0117073170731707,7.31707317073171e-06,0.00748780487804878,2.58536585365854e-05,6.09756097560976e-05,7.5609756097561e-06,3.02439024390244e-05,0.00406024390243902,9.75609756097561e-07,3.41463414634146e-05,4.14634146341463e-06
